ID,Game,Tournament,Region,WinningTeam,MVP,PrizePool(USD),PeakViewers,Duration(Days),Year,MapsPlayed,MapsWon,Kills,K/D Ratio,WinRate(%)
890,Dota 2,PUBG Mobile World Cup 2024,ASIA,FaZe Clan,Faker,8401190,2449871,8,2023,3,2,128,1.12,66.67
891,PUBG Mobile,Valorant Champions 2025,OCE,OG,Derke,959440,3662458,13,2025,3,2,165,1.36,66.67
892,PUBG Mobile,Fortnite FNCS Global Championship 2024,NA,G2 Esports,Boombl4,19286638,186723,5,2024,3,2,234,1.25,66.67
893,Fortnite,BLAST Premier World Final 2024,EU,T1,Leaf,23271768,2636008,8,2024,3,3,101,1.54,100
894,Dota 2,Valorant Champions 2024,SA,Natus Vincere,s1mple,4015700,1873197,9,2024,5,1,164,0.86,20
895,PUBG Mobile,The International 2025,SA,FaZe Clan,Sh1ro,39449999,3908591,7,2024,5,1,203,0.88,20
896,Valorant,Valorant Champions 2024,EU,Cloud9,TenZ,35674908,2059401,12,2023,4,3,127,1.53,75
897,League of Legends,PUBG Mobile World Cup 2024,NA,Evil Geniuses,Derke,27017421,4366873,3,2025,7,1,223,1.18,14.29
898,Counter-Strike 2,LoL Worlds 2025,MENA,Cloud9,Leaf,25520693,1036798,7,2023,3,3,289,1.13,100
899,PUBG Mobile,Valorant Champions 2025,ASIA,Paper Rex,TenZ,787545,4398120,4,2025,3,2,246,1.28,66.67
900,PUBG Mobile,Fortnite FNCS Global Championship 2024,ASIA,FaZe Clan,TenZ,27738782,3447905,4,2023,4,3,171,1.6,75
901,Dota 2,The International 2024,SA,G2 Esports,ShowMaker,2025611,2103340,7,2025,6,6,297,1.4,100
902,Dota 2,LoL Worlds 2024,MENA,Team Spirit,TenZ,3559787,4763597,11,2023,6,6,158,0.93,100
903,League of Legends,PUBG Mobile World Cup 2025,OCE,T1,Faker,15834268,4506828,14,2025,4,1,281,1.51,25
904,Dota 2,BLAST Premier World Final 2025,SA,Team Liquid,Boombl4,28393914,75063,13,2025,4,3,289,0.9,75
905,PUBG Mobile,Fortnite FNCS Global Championship 2024,NA,Cloud9,b1t,21242118,1899961,6,2023,6,1,182,0.97,16.67
906,Fortnite,BLAST Premier World Final 2024,OCE,Cloud9,Aspas,1739122,2571249,3,2023,7,1,131,0.8,14.29
907,Counter-Strike 2,BLAST Premier World Final 2025,NA,Team Spirit,TenZ,38115933,4441226,12,2023,4,3,195,0.98,75
908,Valorant,LoL Worlds 2025,SA,T1,Leaf,39466932,475450,10,2023,7,2,73,0.8,28.57
909,Fortnite,LoL Worlds 2024,ASIA,FaZe Clan,Keria,29601662,4454925,13,2024,7,4,59,1.16,57.14
910,Dota 2,The International 2024,SA,Vitality,ShowMaker,37904139,4839710,5,2024,3,1,157,0.81,33.33
911,League of Legends,Fortnite FNCS Global Championship 2024,ASIA,OG,Derke,20670039,3372892,5,2023,7,2,220,1.3,28.57
912,Fortnite,PUBG Mobile World Cup 2024,SA,OG,NiKo,29468136,2281226,6,2025,6,1,170,1.01,16.67
913,Valorant,Valorant Champions 2025,ASIA,Vitality,NiKo,9536815,2545268,5,2023,4,4,265,1.2,100
914,Valorant,Fortnite FNCS Global Championship 2024,SA,Team Liquid,Derke,2301594,3475272,14,2025,6,1,262,1.19,16.67
915,Dota 2,LoL Worlds 2024,NA,FaZe Clan,Faker,10392039,3387456,12,2025,4,1,260,0.84,25
916,Fortnite,BLAST Premier World Final 2024,NA,G2 Esports,Faker,16567677,4047121,5,2025,5,1,78,1.13,20
917,Valorant,Fortnite FNCS Global Championship 2024,ASIA,Cloud9,Faker,2779736,2411662,5,2023,3,3,185,1.43,100
918,Dota 2,Fortnite FNCS Global Championship 2025,EU,Team Liquid,ShowMaker,33557241,3893989,11,2024,3,2,133,0.85,66.67
919,League of Legends,PUBG Mobile World Cup 2024,MENA,Paper Rex,ShowMaker,32267416,1762262,12,2023,3,3,272,1.53,100
920,Counter-Strike 2,LoL Worlds 2024,SA,100 Thieves,Derke,28289191,2983391,7,2024,3,1,208,1.57,33.33
921,PUBG Mobile,The International 2025,NA,Fnatic,Faker,11435268,4087759,10,2024,4,3,200,0.8,75
922,Counter-Strike 2,PUBG Mobile World Cup 2025,SA,Cloud9,Leaf,25929485,4876479,7,2024,4,2,270,0.84,50
923,PUBG Mobile,Fortnite FNCS Global Championship 2025,ASIA,G2 Esports,Ana,3885269,2220421,9,2023,6,1,94,1.33,16.67
924,Valorant,The International 2024,MENA,FaZe Clan,ZywOo,12495425,4559873,10,2024,5,4,210,1.27,80
925,Valorant,Fortnite FNCS Global Championship 2024,EU,Evil Geniuses,b1t,38839329,1763932,9,2023,6,4,159,0.83,66.67
926,Fortnite,Valorant Champions 2025,ASIA,G2 Esports,Leaf,5755873,2976517,6,2025,4,3,151,1.22,75
927,League of Legends,The International 2025,NA,FaZe Clan,Aspas,18321301,1149354,13,2024,7,6,236,1.21,85.71
928,PUBG Mobile,The International 2024,MENA,Astralis,ZywOo,28728333,4169174,12,2025,3,3,171,1.21,100
929,Fortnite,BLAST Premier World Final 2024,SA,G2 Esports,ShowMaker,21875005,1987068,4,2025,4,1,63,0.96,25
930,Fortnite,The International 2025,ASIA,100 Thieves,Aspas,35515955,4497044,7,2024,5,4,55,1.02,80
931,Counter-Strike 2,LoL Worlds 2025,OCE,G2 Esports,s1mple,10630938,4206639,4,2025,6,2,193,0.86,33.33
932,Counter-Strike 2,Fortnite FNCS Global Championship 2025,NA,G2 Esports,NiKo,6935127,2321945,10,2023,4,2,282,0.96,50
933,Dota 2,LoL Worlds 2025,MENA,T1,Nisha,35245825,1693341,11,2025,7,5,135,1.24,71.43
934,PUBG Mobile,BLAST Premier World Final 2024,OCE,OG,Boombl4,16691808,1025721,14,2025,6,1,50,1.16,16.67
935,Dota 2,LoL Worlds 2025,NA,Team Liquid,TenZ,34324993,2248217,9,2025,5,5,226,1.15,100
936,Dota 2,BLAST Premier World Final 2024,NA,Team Liquid,TenZ,4905091,4924438,11,2024,5,2,190,0.93,40
937,Fortnite,LoL Worlds 2025,NA,Evil Geniuses,Ana,18151579,4975891,10,2025,4,3,280,1.13,75
938,PUBG Mobile,The International 2024,MENA,Astralis,s1mple,28657989,1773287,11,2023,3,3,242,1.09,100
939,Fortnite,Fortnite FNCS Global Championship 2024,MENA,Cloud9,ShowMaker,23620196,2633844,9,2025,4,2,176,1.36,50
940,Fortnite,LoL Worlds 2024,MENA,Cloud9,Ana,30693595,168956,13,2025,4,3,167,0.82,75
941,Valorant,Fortnite FNCS Global Championship 2025,EU,Evil Geniuses,Aspas,4360053,2982486,3,2024,4,1,220,1.27,25
942,League of Legends,LoL Worlds 2025,SA,Cloud9,Derke,19819554,3820747,4,2023,6,1,246,1.04,16.67
943,PUBG Mobile,LoL Worlds 2024,SA,Evil Geniuses,s1mple,6962772,3891204,14,2024,5,1,124,1.51,20
944,PUBG Mobile,BLAST Premier World Final 2024,NA,Astralis,Leaf,34723462,4100458,5,2023,4,3,55,1.27,75
945,Dota 2,Valorant Champions 2025,ASIA,Astralis,ZywOo,7429220,77875,3,2023,7,5,105,1.44,71.43
946,Counter-Strike 2,LoL Worlds 2024,OCE,Sentinels,Derke,27211642,2852615,8,2023,5,4,259,1.12,80
947,Fortnite,BLAST Premier World Final 2025,NA,Fnatic,Leaf,17705110,1128386,3,2024,6,4,232,1.28,66.67
948,Dota 2,BLAST Premier World Final 2025,ASIA,G2 Esports,Leaf,23583853,1776518,11,2025,6,6,81,1.45,100
949,Fortnite,The International 2025,SA,Cloud9,Derke,16398923,3365236,10,2023,5,2,138,1.59,40
950,Fortnite,BLAST Premier World Final 2024,OCE,Natus Vincere,TenZ,31777698,3491482,14,2025,4,2,117,1.58,50
951,Dota 2,BLAST Premier World Final 2025,SA,Natus Vincere,Boombl4,24746548,442239,13,2025,7,6,65,1.06,85.71
952,PUBG Mobile,Fortnite FNCS Global Championship 2024,ASIA,Sentinels,Sh1ro,38353131,277379,12,2025,3,2,254,1.06,66.67
953,Fortnite,The International 2025,ASIA,Astralis,b1t,18276597,4613981,6,2024,6,5,226,1.36,83.33
954,Counter-Strike 2,PUBG Mobile World Cup 2024,SA,Vitality,Boombl4,24800005,4332392,13,2025,7,4,59,1.58,57.14
955,League of Legends,PUBG Mobile World Cup 2024,MENA,Natus Vincere,Nisha,35745407,2668437,3,2025,5,1,83,1.55,20
956,Dota 2,The International 2025,SA,100 Thieves,Aspas,35065197,4124792,12,2025,3,2,268,1.07,66.67
957,PUBG Mobile,PUBG Mobile World Cup 2024,NA,Paper Rex,Keria,14106932,2816103,5,2023,3,1,292,0.94,33.33
958,Fortnite,Fortnite FNCS Global Championship 2024,MENA,Natus Vincere,Faker,4403319,4233704,6,2023,4,2,110,1.43,50
959,League of Legends,LoL Worlds 2025,MENA,Fnatic,Faker,21998466,2612352,12,2025,4,2,205,1.14,50
960,Valorant,Valorant Champions 2024,NA,Team Spirit,Boombl4,29430952,3130723,13,2025,6,5,116,1.34,83.33
961,Fortnite,Fortnite FNCS Global Championship 2025,EU,100 Thieves,Nisha,6810446,4297261,11,2023,3,2,274,1.48,66.67
962,Valorant,BLAST Premier World Final 2024,MENA,Fnatic,Derke,19528617,2728119,8,2023,6,3,53,1.36,50
963,Counter-Strike 2,Fortnite FNCS Global Championship 2025,MENA,Evil Geniuses,Sh1ro,26841533,3494675,14,2023,4,4,170,0.87,100
964,Counter-Strike 2,Valorant Champions 2024,MENA,FaZe Clan,Leaf,25843297,4195235,6,2023,3,3,65,1.29,100
965,PUBG Mobile,Fortnite FNCS Global Championship 2025,EU,Paper Rex,Nisha,5818732,2746371,5,2024,7,2,283,0.98,28.57
966,League of Legends,The International 2025,SA,Paper Rex,Faker,21807354,3136272,11,2025,7,4,295,1.01,57.14
967,Valorant,BLAST Premier World Final 2024,SA,Sentinels,ZywOo,38677292,444498,11,2023,4,3,268,1.06,75
968,Counter-Strike 2,PUBG Mobile World Cup 2025,OCE,T1,Leaf,29209415,114115,9,2024,4,2,249,1.03,50
969,Dota 2,Fortnite FNCS Global Championship 2024,ASIA,Cloud9,Faker,31989735,2671613,11,2024,3,1,264,1.38,33.33
970,Valorant,The International 2025,NA,100 Thieves,Aspas,38473426,942076,8,2023,4,4,146,0.87,100
971,Counter-Strike 2,BLAST Premier World Final 2025,NA,Natus Vincere,ShowMaker,33167641,3047273,12,2023,3,3,282,0.83,100
972,Dota 2,BLAST Premier World Final 2024,SA,FaZe Clan,Boombl4,6186540,1013290,12,2024,5,1,218,0.99,20
973,Counter-Strike 2,The International 2025,MENA,Team Liquid,b1t,37044469,3153723,6,2025,7,1,244,0.97,14.29
974,Counter-Strike 2,PUBG Mobile World Cup 2024,SA,Cloud9,Derke,19339897,1274046,12,2025,6,5,264,1.55,83.33
975,Fortnite,Valorant Champions 2025,OCE,Cloud9,b1t,31681624,1474101,13,2024,3,1,103,1.53,33.33
976,Dota 2,Fortnite FNCS Global Championship 2024,ASIA,100 Thieves,NiKo,28182967,4136223,5,2023,4,2,107,0.89,50
977,League of Legends,PUBG Mobile World Cup 2024,EU,T1,Keria,29198907,4483778,10,2023,3,1,100,1.44,33.33
978,League of Legends,BLAST Premier World Final 2025,NA,Astralis,s1mple,22883002,3406260,14,2024,6,4,103,1.03,66.67
979,Counter-Strike 2,The International 2025,MENA,Evil Geniuses,TenZ,10555418,324539,7,2023,4,4,185,1.25,100
980,Fortnite,The International 2025,EU,Team Spirit,Faker,32051862,981612,14,2023,4,2,156,1.55,50
981,League of Legends,BLAST Premier World Final 2024,EU,FaZe Clan,ZywOo,18700602,1817877,11,2023,7,1,110,1.29,14.29
982,Dota 2,PUBG Mobile World Cup 2025,EU,Vitality,Keria,34201763,1554734,3,2023,7,6,296,1.14,85.71
983,League of Legends,Fortnite FNCS Global Championship 2024,EU,Vitality,Derke,35945896,2936024,13,2025,4,3,242,1.19,75
984,Counter-Strike 2,Fortnite FNCS Global Championship 2025,EU,G2 Esports,Ana,38459787,2756139,11,2024,4,3,197,1.3,75
985,Fortnite,PUBG Mobile World Cup 2024,OCE,G2 Esports,Sh1ro,30002303,985318,4,2024,7,4,262,1.47,57.14
986,Valorant,Valorant Champions 2024,SA,OG,Faker,9730414,4983695,11,2025,6,2,69,1.43,33.33
987,PUBG Mobile,PUBG Mobile World Cup 2024,ASIA,Astralis,Leaf,15805672,3726705,3,2024,5,3,175,1.53,60
988,Valorant,Fortnite FNCS Global Championship 2024,MENA,OG,Derke,23242795,79876,8,2024,7,7,83,1.51,100
989,Fortnite,Valorant Champions 2024,EU,Vitality,Keria,9107560,4626844,12,2023,4,1,135,1.37,25
990,Counter-Strike 2,The International 2024,ASIA,100 Thieves,Keria,24914519,2113448,7,2025,7,4,248,1.07,57.14
991,Valorant,LoL Worlds 2024,OCE,100 Thieves,ShowMaker,6400578,4031640,8,2025,7,3,83,0.86,42.86
992,PUBG Mobile,PUBG Mobile World Cup 2024,EU,T1,Faker,37117066,3797693,9,2024,5,2,284,0.85,40
993,Counter-Strike 2,PUBG Mobile World Cup 2025,MENA,100 Thieves,Boombl4,5693498,4216096,9,2025,4,1,248,1.13,25
994,PUBG Mobile,The International 2025,SA,Fnatic,b1t,28819246,2940930,14,2024,3,3,250,1.52,100
995,PUBG Mobile,LoL Worlds 2024,SA,Paper Rex,s1mple,18545977,4333361,12,2025,7,4,208,1.05,57.14
996,League of Legends,LoL Worlds 2024,EU,Astralis,Sh1ro,21128086,2620177,10,2023,3,2,283,1.29,66.67
997,League of Legends,PUBG Mobile World Cup 2025,ASIA,Paper Rex,Boombl4,4363042,3228772,7,2025,7,2,186,1.02,28.57
998,League of Legends,LoL Worlds 2024,MENA,Paper Rex,ZywOo,870372,2325274,10,2025,7,3,258,0.98,42.86
999,Valorant,Fortnite FNCS Global Championship 2024,EU,Natus Vincere,Derke,20507322,4711180,8,2023,3,1,69,0.94,33.33
1000,Valorant,Valorant Champions 2025,OCE,Evil Geniuses,ShowMaker,16701214,299775,13,2024,3,3,264,1.1,100
